dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/W/short,TimeTron-v2-33M,3981635.270072993,3981635.270072993,1571.5380930656934,1.7341981981769463,0.3649065337912009,0.2884426256165887,16.376238023731513,1995.4035356471113,0.4073117491760472,0.3207902151861179,0.2708693986940647,Energy,1
bizitobs_application/10S/short,TimeTron-v2-33M,3846447.7866666666,3846447.7866666666,802.4288888888889,2.7888631318616226,0.03990296681722,0.0394739532470703,45.04911043953967,1961.236290370609,0.0756370444341008,0.0309464748445104,0.0271242517505239,Web/CloudOps,2
bizitobs_application/10S/medium,TimeTron-v2-33M,21395602.773333333,21395602.773333333,2128.1989583333334,6.954895414358934,0.0938188234965006,0.0958718999226888,136.6775957490632,4625.538106354042,0.1816312676644442,0.0835681094299575,0.0764375239864018,Web/CloudOps,2
bizitobs_application/10S/long,TimeTron-v2-33M,20505351.964444444,20505351.964444444,2293.850972222222,7.430197088147029,0.0991053856743706,0.1025060611300998,178.18038105920755,4528.283556099866,0.1746377966921116,0.088464663214238,0.0841119669853,Web/CloudOps,2
bizitobs_service/10S/short,TimeTron-v2-33M,17581.621164021162,17581.621164021162,39.59574074074074,1.7647892474529427,0.3151719060019841,0.1103942418981481,27.404425159391323,132.59570567714914,0.0982311377437942,0.0293337905847547,0.0255241877536208,Web/CloudOps,2
bizitobs_service/10S/medium,TimeTron-v2-33M,140078.9942857143,140078.9942857143,107.75006944444443,3.8227884474889127,0.4408571273561508,0.1591579861111111,75.51363819266368,374.27128434561246,0.2816853883423936,0.0810952414060991,0.0729965169982094,Web/CloudOps,2
bizitobs_service/10S/long,TimeTron-v2-33M,209060.09735449735,209060.09735449735,125.9715343915344,3.752276917693752,0.1919149150545634,0.1667078734705687,88.06615924411318,457.2309015743549,0.3387312691907938,0.0933237398859777,0.0884890391296368,Web/CloudOps,2
bizitobs_l2c/5T/short,TimeTron-v2-33M,22.087946428571428,22.087946428571428,2.826266624813988,0.2945102086164606,0.165287321250677,0.217285901024228,3.0689940270310605,4.699781529876834,0.1614095210159594,0.0970654357600688,0.0791101929963495,Web/CloudOps,7
bizitobs_l2c/5T/medium,TimeTron-v2-33M,191.80221088435377,191.80221088435377,10.06801990327381,0.9621880447316018,0.6271967291070425,0.9746027317176872,19.152805108628495,13.84926752158228,0.7286751339341283,0.5297259035567636,0.4665091689133379,Web/CloudOps,7
bizitobs_l2c/5T/long,TimeTron-v2-33M,364.4816666666667,364.4816666666667,13.914151785714283,1.294419370846612,1.0347643080435769,1.2360301184275793,33.96116123183925,19.09140295176514,1.0719537340429284,0.78125882107357,0.7242053312735177,Web/CloudOps,7
ett2/W/short,TimeTron-v2-33M,7022237.714285715,7022237.714285715,1770.156529017857,1.141450760753593,0.1705326693398612,0.1983142750603812,8.899844991492236,2649.9505116672867,0.2222902217114765,0.1484889946310067,0.116731459071212,Energy,7
loop_seattle/5T/short,TimeTron-v2-33M,44.87091027920214,44.87091027920214,3.656724877450981,0.5777993204241603,0.1027626923363275,0.0783165741754144,4.521999058360721,6.698575242482699,0.1148657801391466,0.0627047604300635,0.0497460087151941,Transport,1
loop_seattle/5T/medium,TimeTron-v2-33M,140.09096604102166,140.09096604102166,6.981449041376419,1.0877889603000437,0.2586087083373645,0.1507308223003942,13.17282271721858,11.836002958812644,0.2105868081217207,0.1242143208990372,0.1036475416391804,Transport,1
loop_seattle/5T/long,TimeTron-v2-33M,153.02013186561177,153.02013186561177,7.414257610939113,1.1548136782559684,0.2810150651086458,0.1571660427237415,14.667447215113286,12.370130632520084,0.2187064394153361,0.131085590861396,0.1100307392903098,Transport,1
loop_seattle/D/short,TimeTron-v2-33M,17.96810178018576,17.96810178018576,2.887948876096491,0.8743414119001611,0.0532958921387222,0.0532498417747033,7.613969183937755,4.238879778925767,0.0757544508811006,0.0516115088635101,0.0424257857691319,Transport,1
bitbrains_rnd/5T/short,TimeTron-v2-33M,1863694.278642564,1863694.278642564,137.64595141625762,1.8174156722897612,1.283698269665347,0.7178146995356822,56.335901043128345,1365.1718861163831,5.585889232551913,0.563207494777613,0.4563278113377249,Web/CloudOps,2
bitbrains_rnd/5T/medium,TimeTron-v2-33M,2225068.469509134,2225068.469509134,166.59690113761093,4.621169289065555,1.0616097361912498,0.7737502938154637,167.02357055287715,1491.666339872672,6.276199866200281,0.7009579962222026,0.6375884086196214,Web/CloudOps,2
bitbrains_rnd/5T/long,TimeTron-v2-33M,2526342.553647849,2526342.553647849,190.6982169619402,3.533227292535709,1.8235743499590864,0.7396551721067658,123.04844364053936,1589.4472478342427,6.088814574418669,0.7305219373185541,0.6479502546127784,Web/CloudOps,2
electricity/W/short,TimeTron-v2-33M,89720899100.5982,89720899100.5982,34812.19639639639,1.7566177439545647,0.2458730459644393,0.1111267708443306,13.001777909154436,299534.47063835274,0.6834388152975958,0.0794299441141317,0.0635230103842868,Energy,1
solar/D/short,TimeTron-v2-33M,153507.20778588808,153507.20778588808,258.97734184914844,1.0119912773093018,1.1992364516803529,0.4241537349357512,5.843921754961797,391.7999588895947,0.566017491815129,0.3741340501562192,0.2889825616758139,Energy,1
ett1/H/short,TimeTron-v2-33M,99.32315848214286,99.32315848214286,5.089588564918155,0.8505728650343709,0.4962696983700707,0.2683175586518787,6.108706601500973,9.966100465184104,0.4651586817159045,0.2375519206939819,0.1878610611502167,Energy,7
ett1/H/medium,TimeTron-v2-33M,141.67676711309525,141.67676711309525,7.130074055989583,1.3149084571201797,4011442887069.745,0.4623036702473958,13.687392746323486,11.902805010294642,0.5701161444933562,0.3415136455009661,0.2761821732475348,Energy,7
ett1/H/long,TimeTron-v2-33M,163.6448578042328,163.6448578042328,7.635671916335979,1.4118754317721869,630978605448.0175,0.5010712477265211,19.886371608029233,12.792374986851849,0.6125991317596777,0.3656557903561202,0.3048880888607935,Energy,7
temperature_rain/D/short,TimeTron-v2-33M,189.750977709802,189.750977709802,5.924746265797922,1.3810640379397443,18.04182227835526,1.5441743857327364,18.673439114099654,13.7750128025277,1.6216831887238623,0.6974992730994705,0.5597701566827407,Nature,1
saugeen/W/short,TimeTron-v2-33M,1168.4376953125,1168.4376953125,17.248260498046875,1.3991118215013922,0.4406227111816406,0.4730045795440674,11.40906299088268,34.18241792665493,1.0318247086623504,0.5206530854990096,0.4211596181436675,Nature,1
covid_deaths/D/short,TimeTron-v2-33M,518170.53032581456,518170.53032581456,117.59174498746869,36.48802357941842,0.0989387894061914,0.3754141212406015,696.8008990667008,719.8406284211906,0.2708435395908337,0.044244466318777,0.0371687927819973,Healthcare,1
us_births/D/short,TimeTron-v2-33M,286170.9866666667,286170.9866666667,373.7851822916667,0.5500547775149256,0.0362581443786621,0.0357220999399821,4.665746882646273,534.9495178674963,0.0501471764351176,0.0350393277480355,0.027926156250498,Healthcare,1
m4_weekly/W/short,TimeTron-v2-33M,433262.9955003214,433262.9955003214,330.8395650310692,2.480185797433929,0.0795883920889021,0.0825152808909296,19.24135863018563,658.2271610168646,0.1199187879677542,0.0602738416157341,0.0470819776005111,Econ/Fin,1
car_parts/M/short,TimeTron-v2-33M,1.3371987472702438,1.3371987472702438,0.4797058673086783,0.8760970166837794,0.8232178409906193,1.8807302824415435,15.088876264544554,1.1563731003747206,2.772864073437567,1.150285461367449,0.984737948167866,Sales,1
sz_taxi/H/short,TimeTron-v2-33M,7.280379857772436,7.280379857772436,1.8652708917601497,0.5683504179155325,0.988564972184662,0.298435308994391,4.179242750420337,2.6982179040567567,0.2513556481627869,0.1737614939448158,0.1377976093559779,Transport,1
ett1/15T/short,TimeTron-v2-33M,5.917625790550595,5.917625790550595,1.2054476056780137,0.775313089475921,0.5100240519957006,0.2584114801316034,6.078214665925738,2.4326170661554185,0.4598658835698759,0.2278797744185908,0.1813064205080266,Energy,7
ett1/15T/medium,TimeTron-v2-33M,12.08630580357143,12.08630580357143,1.8101517547123016,1.1515004868310983,0.8091579541839798,0.4297645786830357,11.575991215071925,3.4765364665959466,0.6626312879329936,0.3450167142223697,0.2826016117883024,Energy,7
ett1/15T/long,TimeTron-v2-33M,11.20203869047619,11.20203869047619,1.8216586061507936,1.194893964850682,0.891450765050001,0.435021003844246,13.496783815849204,3.3469446799246905,0.6379309652605284,0.3472099314838608,0.2885558241029272,Energy,7
saugeen/M/short,TimeTron-v2-33M,498.0833798363095,498.0833798363095,13.423924037388392,0.7864016251801428,0.3948113577706473,0.381299200512114,5.637896915705379,22.31778169613435,0.6700467592359634,0.4030264709973303,0.324750399031017,Nature,1
us_births/M/short,TimeTron-v2-33M,123431370.66666669,123431370.66666669,9832.345052083334,1.1144189334005354,0.0300723289450009,0.0306475088000297,6.475356301731352,11109.967176669186,0.0345074823039352,0.0305391966956891,0.0229351750966988,Healthcare,1
m4_quarterly/Q/short,TimeTron-v2-33M,1973282.3586666663,1973282.3586666663,597.1541953125,1.2458785657638598,0.1244344229698181,0.1077974052429199,9.521712062686712,1404.735689966859,0.2351280179087623,0.0999530967516334,0.0800003569693292,Econ/Fin,1
ett1/W/short,TimeTron-v2-33M,1091585.5714285714,1091585.5714285714,776.6309291294643,1.4253502332603116,0.7225370407104492,0.4580290658133371,7.849473192064395,1044.7897259394215,0.4157467687301662,0.3090399831326467,0.2381534994219384,Energy,7
saugeen/D/short,TimeTron-v2-33M,1125.3322916666666,1125.3322916666666,13.250651041666666,2.9439087446346712,0.3210107930501302,0.3564278157552083,28.627443692395936,33.545972808470864,1.086562052111618,0.4291917444114977,0.3710848471072012,Nature,1
electricity/H/short,TimeTron-v2-33M,1863850.523243243,1863850.523243243,195.29604940878377,1.0531645319905507,0.2071355585941179,0.1424503058356207,11.002882542024434,1365.2291101654855,0.6444856363045942,0.0921936821693882,0.0759403249262236,Energy,1
electricity/H/medium,TimeTron-v2-33M,8526295.972612612,8526295.972612612,296.62565878378376,1.290791834567778,0.3714921230350138,0.1609598053253448,12.791498600819262,2919.9821870368683,1.1397652734927797,0.1157827697064668,0.0949381385428284,Energy,1
electricity/H/long,TimeTron-v2-33M,14490457.035723723,14490457.035723723,362.5508648648649,1.4928027759808222,0.4299999475456491,0.1810791220908408,17.69269712835727,3806.633294096467,1.50133504528955,0.142989953869684,0.1205730606101715,Energy,1
ett1/D/short,TimeTron-v2-33M,60128.0253968254,60128.0253968254,160.4562251984127,1.8551646321145865,1.2022953093998017,0.5045923142206101,10.507672791598935,245.21016576974412,0.6440526340985293,0.4214435978709968,0.3186404662594895,Energy,7
bizitobs_l2c/H/short,TimeTron-v2-33M,211.21521577380952,211.21521577380952,9.249025375124008,0.897339827475659,0.7445551371402878,0.8421546088324653,5.28505659256937,14.533245190727689,0.7833791360644242,0.4985461548825487,0.3926820066727861,Web/CloudOps,7
bizitobs_l2c/H/medium,TimeTron-v2-33M,272.71651785714283,272.71651785714283,12.181212797619049,1.1821341226043072,1.3437424342595352,1.0496454148065475,12.348168686730247,16.51413085382161,0.9999557067232344,0.737590937095577,0.5831507966902421,Web/CloudOps,7
