dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett2/D/short,TimesFM-3,102043.49206349206,102043.49206349206,191.06220238095239,1.2565986148351553,0.4154510982452877,0.12895085168263268,11.897913633098069,319.4424706633294,0.18282533340485674,0.10934992701136079,0.08999341128076283,Energy,7
ett2/H/short,TimesFM-3,103.96079566592262,103.96079566592262,6.268282209123884,0.7290569813449019,0.11998067944819925,0.10953218369256883,5.172225945879512,10.196116695385681,0.12931512940671172,0.07949925930109046,0.0629508668617696,Energy,7
ett2/H/medium,TimesFM-3,235.78050595238096,235.78050595238096,9.493909272693452,1.0218153712276739,0.17388959569593632,0.16618049258277529,7.2091519677687605,15.355145911139397,0.20692045271060477,0.1279365247368963,0.10140656667761666,Energy,7
ett2/H/long,TimesFM-3,219.6457175925926,219.6457175925926,9.032816633597884,0.9946663648520495,0.17522615354854473,0.16837030642877812,7.6424672160210205,14.820449304680091,0.20295464656739148,0.12369747162800239,0.09942212827627733,Energy,7
ett2/W/short,TimesFM-3,2911333.714285714,2911333.714285714,1158.2784598214287,0.7642263679480047,0.12037902218954903,0.12343543767929077,9.066780548524205,1706.263084722199,0.14312928740090802,0.0971617870951325,0.08398953761137316,Energy,7
hierarchical_sales/D/short,TimesFM-3,28.298823603503514,28.298823603503514,2.2992789827924764,0.743121297213673,0.6314344565642033,1.0466520634781955,6.839265266757891,5.319663861890478,1.6320139611045246,0.7053933289420284,0.5683248558892655,Sales,1
hierarchical_sales/W/short,TimesFM-3,455.74253922801904,455.74253922801904,8.891986588300284,0.7131178996479599,0.5262385480650943,0.45501807584600934,6.559799224622994,21.348127300257957,0.9801029665005903,0.40823545366301356,0.3433919814159412,Sales,1
hospital/M/short,TimesFM-3,2762.518157866145,2762.518157866145,17.92452431305343,0.7608739425369492,0.19140450097539538,0.17337882876240757,5.088308963981535,52.559662840110995,0.19080378120805863,0.06507018558491101,0.051186680725906285,Healthcare,1
jena_weather/10T/short,TimesFM-3,801.4211123511905,801.4211123511905,5.339312405056424,0.2508777970914285,0.32937124165632237,0.40325211247640647,2.013688778490572,28.30938205526907,0.1758367433173298,0.033163821909853335,0.02661172664847898,Nature,21
jena_weather/10T/medium,TimesFM-3,1420.606782106782,1420.606782106782,9.060849567099567,0.5596206626368752,0.6631380456001602,0.5613012226573694,5.248075741904585,37.69093766552886,0.2313086145095041,0.05560627273971092,0.04504120058736045,Nature,21
